fraction,State
7.15349748,Hawaii
1.40767661,Vermont
1.387096804,Montana
1.259772011,Utah
1.154506447,Mississippi
1.107702355,Maine
0.945217528,Arkansas
0.868503053,Pennsylvania
0.846381673,Kansas
0.830849327,California
0.805368753,Washington
0.733449842,Tennessee
0.700636956,North Dakota
0.667135481,Oregon
0.624826636,Massachusetts
0.624331307,Missouri
0.519434695,Georgia
0.484980887,Rhode Island
0.471082164,Florida
0.448299226,Maryland
0.428037374,New Mexico
0.42615877,South Dakota
0.423095865,Kentucky
0.417154071,Colorado
0.404574826,South Carolina
0.395023138,Indiana
0.39108674,New York
0.377906216,North Carolina
0.365438475,Nebraska
0.359805746,Minnesota
0.355640852,Texas
0.325720862,New Jersey
0.317271254,Iowa
0.270594103,Arizona
0.256097525,Nevada
0.253479037,Wisconsin
0.194256764,Ohio
0.131700356,Virginia
0.11977928,Illinois
0.11394654,Michigan
0.075675653,Alabama
0.07525797,Oklahoma
0.059543839,Connecticut
0,Idaho
0,Louisiana
0,New Hampshire
0,West Virginia