State,fraction
Hawaii,23.70358868
Vermont,41.77964552
Montana,16.12903267
Utah,30.66408856
Mississippi,5.901287552
Maine,30.19251871
Arkansas,5.338466606
Pennsylvania,16.0537091
Kansas,64.10278727
California,28.54559935
Washington,37.92057961
Tennessee,15.27640946
North Dakota,74.79617793
Oregon,21.96307951
Massachusetts,15.4881584
Missouri,13.66728897
Georgia,8.624171996
Rhode Island,11.99781551
Florida,11.05516103
Maryland,17.33875517
New Mexico,16.42429904
South Dakota,8.210574773
Kentucky,18.61615595
Colorado,12.33471051
South Carolina,21.17690421
Indiana,12.37765801
New York,18.26514379
North Carolina,10.79753572
Nebraska,17.10012314
Minnesota,14.10738219
Texas,11.18445646
New Jersey,14.34232503
Iowa,26.91303365
Arizona,17.53349982
Nevada,55.4837714
Wisconsin,17.96871872
Ohio,5.356884174
Virginia,9.709515458
Illinois,10.81117661
Michigan,2.186880094
Alabama,17.11783778
Oklahoma,19.88266264
Connecticut,19.37222292
Idaho,0
Louisiana,31.29734527
New Hampshire,26.54280683
West Virginia,5.639272762