parameters,type,switch,limit
vacuum cardboard,mrf,on,TRUE
vacuum paper,mrf,on,TRUE
vacuum film,mrf,on,TRUE
discreen1 cardboard,mrf,on,TRUE
discreen1 paper,mrf,on,TRUE
glass_breaker glass,mrf,on,TRUE
discreen2 cardboard,mrf,on,TRUE
discreen2 paper,mrf,on,TRUE
discreen2 film,mrf,on,TRUE
nir_pet aluminum,mrf,on,TRUE
nir_pet cardboard,mrf,on,TRUE
nir_pet glass,mrf,on,TRUE
nir_pet hdpe,mrf,on,TRUE
nir_pet paper,mrf,on,TRUE
nir_pet pet,mrf,on,TRUE
nir_pet film,mrf,on,TRUE
nir_pet other,mrf,on,TRUE
recovery_foodgrade,other,on,TRUE
recovery_highgrade,other,on,TRUE
recovery_mediumgrade,other,on,TRUE
recovery_lowgrade,other,on,TRUE
mechanical_recycling_foodgrade_selectivity,other,on,TRUE
mechanical_recycling_highgrade_selectivity,other,on,TRUE
mechanical_recycling_mediumgrade_selectivity,other,on,TRUE
mechanical_recycling_lowgrade_selectivity,other,on,TRUE
distance_for_landfill,other,on,FALSE
distance_for_wte,other,on,FALSE
distance_for_mrf,other,on,FALSE
distance_from_mrf_to_reclaimer,other,on,FALSE
user_defined_collection_rate,other,on,TRUE
chemical_recycling_selectivity,other,on,TRUE
polyester_to_fiber_reinforced_resin_conversion_factor,other,on,TRUE
pet_to_polyester_conversion_factor,other,on,TRUE
pet_to_ppo_conversion_factor,other,on,TRUE
recovery_chemical_recycling,other,on,TRUE
L_recycling,utility,on,TRUE
U_recycling,utility,on,TRUE
L_downcycling,utility,on,TRUE
U_downcycling,utility,on,TRUE
L_incineration,utility,on,TRUE
U_incineration,utility,on,TRUE
L_pyrolysis_upcycling,utility,on,TRUE
U_pyrolysis_upcycling,utility,on,TRUE
L_fiber_resin_upcycling,utility,on,TRUE
U_fiber_resin_upcycling,utility,on,TRUE
L_average,utility,on,TRUE
U_average,utility,on,TRUE