state,year,"Electricity, hydro, at power plant","Electricity, diesel, at power plant","Electricity, natural gas, at power plant","Electricity, solar, at power plant","Electricity, nuclear, at power plant","Electricity, biomass, at power plant","Electricity, bituminous coal, at power plant","Electricity, lignite coal, at power plant","Electricity, anthracite coal, at power plant","Electricity, wind, at power plant","Electricity, geothermal, at power plant",electricity
VT,2020,0.049089179,0,0,0.015693895,0,0.00152955,0,0,0,0.022003767,0,0.08831639
VT,2022,0.05049638,0,0,0.015893704,0,0.001573396,0,0,0,0.022721796,0,0.090685277
VT,2024,0.050375684,0,0,0.016456077,0,0.001569636,0,0,0,0.022548619,0,0.090950015
VT,2026,0.051891065,0,0,0.017867536,0,0.001616853,0,0,0,0.023105008,0,0.094480461
VT,2028,0.052181641,0,0,0.019212439,0,0.001625907,0,0,0,0.02257832,0,0.095598306
VT,2030,0.053622015,0,0,0.021488865,0,0.001670787,0,0,0,0.023076057,0,0.099857724
VT,2032,0.054330182,0,0,0.022193771,0,0.001692852,0,0,0,0.023255609,0,0.101472414
VT,2034,0.057515557,0,0,0.024023794,0,0.001792104,0,0,0,0.024486538,0,0.107817993
VT,2036,0.051891055,0,0.140195516,0.022073184,0,0.001616852,0,0,0,0.021972391,0,0.237748998
VT,2038,0.049063988,0,0.202764115,0.021894291,0,0.001528765,0,0,0,0.022470335,0,0.297721494
VT,2040,0.046940307,0,0.225025155,0.022554205,0,0.001462594,0,0,0,0.037564903,0,0.333547164
VT,2042,0.045779268,0,0.253447971,0.021072361,0,0.001426418,0,0,0,0.028305444,0,0.350031461
VT,2044,0.045012385,0,0.249202276,0.021765767,0,0.001402523,0,0,0,0.043536615,0,0.360919565
VT,2050,0.04386775,0,0.223088613,0.024528419,0,0.001366857,0,0,0,0.084319323,0,0.377170962
VT,2048,0.043711733,0,0.242001469,0.019805434,0,0.001361996,0,0,0,0.072505436,0,0.379386069
VT,2046,0.043447726,0,0.240539845,0.022696897,0,0.00135377,0,0,0,0.075096174,0,0.383134412
MN,2048,0.019440162,0,0.017980119,0.188909719,0.182365768,0.000944495,0.021252053,0.021252053,0.021252053,0.29657487,0,0.769971292
ND,2032,0.04444464,0,0.001012886,0.003109186,0,0,0.139536252,0.139536252,0.139536252,0.306141059,0,0.773316526
ND,2030,0.04381693,0,0.000998581,0.002504846,0,0,0.142027706,0.142027706,0.142027706,0.303086291,0,0.776489766
MN,2042,0.018820335,0,0.047475268,0.203965336,0.176551241,0.002529138,0.045833683,0.045833683,0.045833683,0.190463134,0,0.777305499
ND,2038,0.042959033,0,0.000979029,0.043271085,0,0,0.115118805,0.115118805,0.115118805,0.345647524,0,0.778213085
MN,2044,0.018674389,0,0.032718528,0.201956235,0.175182147,0.002219965,0.036445639,0.036445639,0.036445639,0.238944235,0,0.779032418
ND,2034,0.042991582,0,0.000979771,0.003714587,0,0,0.145449585,0.145449585,0.145449585,0.296752354,0,0.78078705
MN,2040,0.018342459,0,0.04952124,0.19749569,0.172068347,0.002464919,0.042437735,0.042437735,0.042437735,0.21575418,0,0.782960038
ND,2036,0.041207369,0,0.000939109,0.004590032,0,0,0.129415033,0.129415033,0.129415033,0.348215023,0,0.783196632
MN,2046,0.018067928,0,0.016502047,0.187428571,0.169493008,0.000877825,0.033372755,0.033372755,0.033372755,0.293720821,0,0.786208464
ND,2042,0.040688455,0,0.000927283,0.038255694,0,0,0.100686698,0.100686698,0.100686698,0.404606916,0,0.786538444
ND,2044,0.040374875,0,0.000920137,0.03781109,0,0,0.090660356,0.090660356,0.090660356,0.437096394,0,0.788183564
ND,2040,0.040342632,0,0.000919402,0.050895133,0,0,0.098631059,0.098631059,0.098631059,0.400302375,0,0.788352719
MN,2038,0.017643998,0,0.049550091,0.191844026,0.165516172,0.005444314,0.042659392,0.042659392,0.042659392,0.236570402,0,0.794547179
ND,2046,0.038725406,0,0.000882546,0.10822591,0,0,0.081706218,0.081706218,0.081706218,0.403884564,0,0.79683708
MN,2036,0.016942568,0,0.053838673,0.183761806,0.158936142,0.005227877,0.041260705,0.041260705,0.041260705,0.256460829,0,0.79895001
MN,2034,0.016656577,0,0.061018935,0.181276045,0.156253293,0.005139631,0.040826765,0.040826765,0.040826765,0.265616377,0,0.808441153
MN,2050,0.016017654,0,0.007523669,0.193791863,0.150259635,0.000778213,0.016712472,0.016712472,0.016712472,0.391960205,0,0.810468653
ND,2028,0.043851314,0,0.000999364,0.00213262,0,0,0.153605002,0.153605002,0.153605002,0.30456455,0,0.812362854
ND,2020,0.048107164,0,0.001248066,0.001953946,0,0,0.132610427,0.132610427,0.132610427,0.364480021,0,0.813620477
ND,2022,0.043459138,0,0.001117033,0.001822325,0,0,0.147771981,0.147771981,0.147771981,0.335042199,0,0.824756638
ND,2024,0.046652919,0,0.001068724,0.001878651,0,0,0.150710183,0.150710183,0.150710183,0.326927802,0,0.828658644
MN,2032,0.014883197,0,0.05461663,0.155731563,0.139617435,0.004592428,0.070214711,0.070214711,0.070214711,0.248704122,0,0.828789508
ND,2050,0.031108408,0,0.000708956,0.081188725,0,0,0.046774581,0.046774581,0.046774581,0.583467873,0,0.836797706
MN,2030,0.013775738,0,0.04776977,0.138382412,0.205895799,0.004250706,0.065814046,0.065814046,0.065814046,0.233992647,0,0.84150921
ME,2020,0.364826916,0,0.165162763,0.010269431,0,0.007445193,0,0,0,0.297531677,0,0.845235979
ND,2026,0.045338305,0,0.001037825,0.001976895,0,0,0.160241899,0.160241899,0.160241899,0.316179535,0,0.845258258
ND,2048,0.028346669,0,0.000646016,0.080062533,0,0,0.050388291,0.050388291,0.050388291,0.591066371,0,0.851286463
MN,2028,0.014968957,0,0.064144951,0.054079099,0.223729956,0.004618891,0.077452177,0.077452177,0.077452177,0.26163702,0,0.855535405
ME,2038,0.344620863,0,0.219664427,0.040628649,0,0.002283414,0,0,0,0.250685165,0,0.857882518
ME,2044,0.370449634,0,0.247511139,0.077317697,0,0.002454552,0,0,0,0.162884418,0,0.860617439
ME,2040,0.359348254,0,0.249652792,0.044852328,0,0.002380996,0,0,0,0.20855999,0,0.86479436
ME,2042,0.355070273,0,0.29152322,0.057741873,0,0.002352651,0,0,0,0.159715943,0,0.86640396
ME,2046,0.347248466,0,0.257768443,0.100114476,0,0.002300824,0,0,0,0.161914724,0,0.869346934
ME,2034,0.353505815,0,0.204432874,0.033246161,0,0.00699063,0,0,0,0.273488886,0,0.871664366
ME,2030,0.35456415,0,0.212836188,0.022319624,0,0.007011558,0,0,0,0.276791088,0,0.873522608
ME,2032,0.350346796,0,0.217238759,0.027113654,0,0.00692816,0,0,0,0.272271285,0,0.873898654
ME,2048,0.332533297,0,0.229759638,0.126441994,0,0.002203323,0,0,0,0.1839453,0,0.874883551
NY,2020,0.184830743,0.001758134,0.354538399,0.024200099,0.245613395,0.010220374,0.001409233,0.001409233,0.001409233,0.058372866,0,0.88376171
ME,2036,0.316731588,0,0.284710927,0.035451569,0,0.00618916,0,0,0,0.241009825,0,0.884093069
MN,2026,0.014918933,0,0.090411693,0.049611676,0.222982288,0.007379408,0.077815376,0.077815376,0.077815376,0.26640446,0,0.885154588
ME,2050,0.302029221,0,0.153750287,0.182035411,0,0.002001207,0,0,0,0.246544657,0,0.886360783
MN,2024,0.013529307,0,0.10353788,0.042516989,0.202331966,0.006696003,0.092225602,0.092225602,0.092225602,0.24265871,0,0.887947661
MN,2022,0.012616494,3.33E-05,0.146606191,0.040591653,0.199436504,0.006600181,0.081284642,0.081284642,0.081284642,0.239580301,0,0.889318581
ME,2028,0.373905239,0,0.196047841,0.018810869,0,0.007394031,0,0,0,0.293170845,0,0.889328826
ME,2026,0.340707663,0,0.263026782,0.014039475,0,0.006737544,0,0,0,0.268338856,0,0.89285032
MN,2020,0.012228718,5.25E-05,0.1604577,0.038679311,0.193306695,0.00639732,0.095553461,0.095553461,0.095553461,0.199170931,0,0.896953554
NY,2024,0.205184246,0,0.273339553,0.035257972,0.198097242,0.011836399,0.006170267,0.006170267,0.006170267,0.155927954,0,0.898154167
NY,2028,0.182665113,0,0.200156597,0.078257996,0.176794959,0.009840011,0.00439385,0.00439385,0.00439385,0.241167402,0,0.902063626
WA,2048,0.845777307,0,0.017948448,0.014906878,0,0.002004975,0,0,0,0.024817094,0,0.905454702
WA,2046,0.838563511,0,0.026823618,0.01414698,0,0.001987834,0,0,0,0.024739153,0,0.906261097
WA,2044,0.838208684,0,0.026889485,0.014479212,0,0.001986833,0,0,0,0.024736548,0,0.906300761
NY,2030,0.183126669,0,0.191624962,0.135871804,0.110179653,0.008332103,0.003855678,0.003855678,0.003855678,0.26670305,0,0.907405274
NY,2022,0.189314811,0.001317522,0.358558806,0.026157133,0.18501564,0.011054767,0.013562769,0.013562769,0.013562769,0.096362974,0,0.90846996
ME,2024,0.297465592,0,0.361951624,0.01004006,0,0.005882426,0,0,0,0.235150313,0,0.910490014
NY,2032,0.174587129,0,0.184017929,0.129925044,0.107638608,0.008139942,0.003854587,0.003854587,0.003854587,0.294673684,0,0.910546096
ME,2022,0.29104326,0,0.3675152,0.008647074,0,0.005939455,0,0,0,0.237692197,0,0.910837186
WA,2050,0.787301145,0,0.01100562,0.059072477,0,0.001440449,0,0,0,0.053178092,0,0.911997783
NY,2034,0.167737654,0,0.178701264,0.129385658,0.104390323,0.006468628,0.002028846,0.002028846,0.002028846,0.319647452,0,0.912417518
WA,2042,0.764884064,0,0.030883124,0.012193769,0.079940367,0.001818578,0,0,0,0.024764118,0,0.914484018
NY,2026,0.201048646,0,0.230674078,0.079111865,0.186201116,0.010764993,0.005396817,0.005396817,0.005396817,0.190686294,0,0.914677443
WA,2040,0.756467453,0,0.028664288,0.011561553,0.079060721,0.002682804,0,0,0,0.036988198,0,0.915425017
WA,2028,0.712108226,0,0.0468868,0.004322498,0.074472303,0.002531361,0,0,0,0.076127602,0,0.91644879
WA,2026,0.694747391,0,0.069290649,0.00329086,0.072705137,0.002475285,0,0,0,0.074497852,0,0.917007173
WA,2038,0.742360898,0,0.03159215,0.011097505,0.077636129,0.002634462,0,0,0,0.052340884,0,0.917662028
WA,2030,0.711079809,0,0.048281994,0.006002001,0.074364751,0.002527705,0,0,0,0.075837497,0,0.918093757
WA,2020,0.695299631,0,0.069291029,0.002660639,0.075847595,0.002534081,0,0,0,0.072717507,0,0.918350482
WA,2036,0.737982443,0,0.034110939,0.009834032,0.07717823,0.002620916,0,0,0,0.056937705,0,0.918664265
WA,2032,0.719096794,0,0.046189001,0.007593056,0.075203168,0.002556203,0,0,0,0.068114948,0,0.91875317
WA,2034,0.721331617,0,0.043559074,0.008785317,0.075436886,0.002564148,0,0,0,0.068146807,0,0.919823848
NY,2036,0.161693954,0,0.221455627,0.133211714,0.061232239,0.006285554,0,0,0,0.336800834,0,0.920679921
WA,2022,0.699430107,0,0.06453361,0.002730962,0.076253886,0.002547655,0,0,0,0.078085144,0,0.923581365
NY,2038,0.149088514,0,0.249555747,0.157168411,0.056243941,0.00575354,0,0,0,0.310701246,0,0.9285114
WA,2024,0.685320524,0,0.079250603,0.002763095,0.071775723,0.002443642,0.005789954,0.005789954,0.005789954,0.073720374,0,0.932643823
NY,2040,0.144141837,0,0.220237165,0.19707311,0.05454485,0.003842416,0,0,0,0.313128161,0,0.932967539
NY,2042,0.143645776,0,0.219366975,0.207503109,0.054217677,0.002876552,0,0,0,0.305759526,0,0.933369615
NY,2044,0.141215339,0,0.221228734,0.211548444,0.053323345,0.002829102,0,0,0,0.304323732,0,0.934468697
NY,2046,0.140360453,0,0.209048885,0.225343176,0.053176426,0.002726949,0,0,0,0.303993363,0,0.934649252
NY,2048,0.138479726,0,0.204441535,0.285728828,0,0.002449332,0,0,0,0.305247146,0,0.936346567
NY,2050,0.135104766,0,0.202850029,0.293441729,0,0.002408291,0,0,0,0.303608344,0,0.937413159
MI,2020,0.01474995,0.024156551,0.202272656,0.003243528,0.280123377,0.004828405,0.124357198,0.124357198,0.124357198,0.062150409,0,0.96459647
MI,2034,0.010293376,0,0.298866551,0.225840364,0.178260323,0.003817348,0.066070685,0.066070685,0.066070685,0.057992129,0,0.973282146
MI,2028,0.012633547,0.00114614,0.270714745,0.060498691,0.219058561,0.00469102,0.112981883,0.112981883,0.112981883,0.065659981,0,0.973348334
MI,2036,0.010046666,0,0.298604823,0.226105797,0.177172363,0.00379405,0.066776706,0.066776706,0.066776706,0.060231011,0,0.976284829
MI,2038,0.010845732,0,0.321980786,0.22617316,0.176542008,0.003609816,0.058390165,0.058390165,0.058390165,0.062047206,0,0.976369204
MI,2030,0.019623762,0.003624617,0.225963391,0.240337085,0.195384735,0.004184058,0.077416914,0.077416914,0.077416914,0.055451103,0,0.976819493
MI,2040,0.009789698,0,0.322880554,0.228240466,0.177085708,0.003620934,0.057500661,0.057500661,0.057500661,0.064563217,0,0.978682561
MI,2032,0.013283404,0,0.307033019,0.223578704,0.178488734,0.003822239,0.066527773,0.066527773,0.066527773,0.052991055,0,0.978780473
MI,2042,0.010451852,0,0.310661694,0.253967471,0.170688728,0.003395805,0.05267316,0.05267316,0.05267316,0.072267597,0,0.979452625
MI,2044,0.009393596,0,0.30602075,0.248465855,0.166602404,0.002969247,0.053405821,0.053405821,0.053405821,0.086275218,0,0.979944533
MI,2046,0.009556834,0,0.325068585,0.247140769,0.166544756,0.002257803,0.041352016,0.041352016,0.041352016,0.105326678,0,0.979951473
MI,2048,0.013957788,0,0.373591334,0.244667239,0.106543072,0.001999485,0.017925368,0.017925368,0.017925368,0.185917323,0,0.980452344
MI,2050,0.00888574,0,0.428069395,0.235279274,0.104853229,0.001945693,0.006778677,0.006778677,0.006778677,0.181393019,0,0.980762383
MI,2024,0.020410572,0.014024364,0.289687957,0.038940355,0.221571364,0.00474483,0.110354857,0.110354857,0.110354857,0.06548851,0,0.985932524
MI,2022,0.014599703,0.022727403,0.254784911,0.003646552,0.237885455,0.005094188,0.127988964,0.127988964,0.127988964,0.066620495,0,0.989325599
MI,2026,0.017432769,0.007632579,0.282659385,0.051874089,0.222791672,0.004770962,0.113805514,0.113805514,0.113805514,0.066494042,0,0.995072041
MT,2020,0.71107346,0,0.003319415,0.003363269,0,0,0,0,0,0.277582036,0,0.99533818
MT,2022,0.486054268,0,0.002012671,0.002500042,0,0,0.084673484,0.084673484,0.084673484,0.252225979,0,0.996813413
MT,2032,0.387909126,0,0.001167888,0.007704136,0,0,0.131915996,0.131915996,0.131915996,0.204985331,0,0.99751447
MT,2024,0.384388116,0,0.001327423,0.002345341,0,0,0.133742884,0.133742884,0.133742884,0.2082296,0,0.997519134
MT,2028,0.377514713,0,0.001241817,0.003668358,0,0,0.137960391,0.137960391,0.137960391,0.201275011,0,0.997581073
MT,2026,0.377488532,0,0.001294192,0.002669185,0,0,0.138123072,0.138123072,0.138123072,0.201760114,0,0.99758124
MT,2030,0.377471627,0,0.001136464,0.005429347,0,0,0.137736198,0.137736198,0.137736198,0.200335316,0,0.997581349
MT,2036,0.372398833,0,0.001121191,0.019447228,0,0,0.108505713,0.108505713,0.108505713,0.279129462,0,0.997613853
MT,2034,0.370604557,0,0.001115789,0.014228305,0,0,0.128075811,0.128075811,0.128075811,0.227449263,0,0.997625349
MT,2038,0.356878998,0,0.001074465,0.019215254,0,0,0.10009362,0.10009362,0.10009362,0.32026372,0,0.997713296
MT,2040,0.280151881,0,0.000843461,0.038041631,0,0,0.078279264,0.078279264,0.078279264,0.444330161,0,0.998204925
MT,2042,0.243640146,0,0.000733534,0.033342029,0,0,0.068077256,0.068077256,0.068077256,0.516491398,0,0.998438874
MT,2044,0.221994973,0,0.000668366,0.020399351,0,0,0.062029222,0.062029222,0.062029222,0.569427211,0,0.998577566
MT,2046,0.215117961,0,0.000647661,0.01356164,0,0,0.060107666,0.060107666,0.060107666,0.588971369,0,0.998621631
MT,2048,0.212590124,0,0.000640051,0.013405309,0,0,0.059401345,0.059401345,0.059401345,0.593798309,0,0.998637828
MT,2050,0.205268104,0,0.000618006,0.018786839,0,0,0.054861731,0.054861731,0.054861731,0.609426601,0,0.998684744
LA,2034,0.006278412,0,0.750501333,0.131019934,0.112200321,0,0,0,0,0,0,1
FL,2046,0.000645532,0,0.342216724,0.530662959,0.09366612,0.002673216,0.01004515,0.01004515,0.01004515,0,0,1
CO,2036,0.031327483,0,0.075249225,0.178856003,0,0.000513031,0.128165269,0.128165269,0.128165269,0.32955845,0,1
ID,2026,0.621271377,0,0.15687681,0.060600815,0,0.001709656,0,0,0,0.154791345,0.004749998,1
LA,2040,0.005638064,0,0.777769838,0.115835312,0.100756786,0,0,0,0,0,0,1
ID,2038,0.32162837,0,0.335216256,0.27788048,0,0.000880103,0,0,0,0.061949571,0.002445221,1
PA,2026,0.011752468,0,0.537677953,0.010315797,0.251830429,0.006277108,0.049332524,0.049332524,0.049332524,0.034148671,0,1
CA,2050,0.099372525,0,0.154816741,0.612445749,0,0.002236444,0,0,0,0.068311444,0.062817098,1
OH,2034,0.002514349,0,0.565020507,0.03956982,0.091494019,0.002223354,0.09343595,0.09343595,0.09343595,0.018870102,0,1
OR,2028,0.513657411,0,0.203889202,0.082388979,0,0.003522877,0,0,0,0.196541531,0,1
SD,2036,0.225709379,0,0.030371309,0.048339686,0,0,0.023798557,0.023798557,0.023798557,0.624183955,0,1
FL,2026,0.000875662,0,0.626392767,0.075341475,0.127057733,0.011133622,0.053066247,0.053066247,0.053066247,0,0,1
LA,2046,0.004992942,0,0.866447321,0.128559738,0,0,0,0,0,0,0,1
PA,2022,0.014423377,0,0.562850191,0.004960439,0.236581744,0.005897021,0.04788948,0.04788948,0.04788948,0.031618789,0,1
TX,2046,0.001485537,0,0.201063522,0.341666783,0.066071537,0.000505304,0.023950205,0.023950205,0.023950205,0.317356702,0,1
WI,2044,0.024938858,0,0.272557378,0.293787804,0,0.003572003,0.102061126,0.102061126,0.102061126,0.09896058,0,1
DE,2036,0,0,0.304944316,0.687977313,0,0.007078371,0,0,0,0,0,1
FL,2048,0.00061848,0,0.327480658,0.555738394,0.089740894,0.002561191,0.007953461,0.007953461,0.007953461,0,0,1
MA,2032,0.030341545,0,0.303053431,0.14450477,0,0.032783137,0,0,0,0.489317117,0,1
MS,2038,0,0,0.377824597,0.229565236,0.34093216,0.000223106,0.017151633,0.017151633,0.017151633,0,0,1
WI,2050,0.027238712,0,0.198702251,0.308847982,0,0.003200481,0.095403759,0.095403759,0.095403759,0.175799298,0,1
OR,2020,0.5023555,0,0.279747482,0.020628449,0,0.003469594,0,0,0,0.193798975,0,1
MA,2026,0.063997904,0,0.407216642,0.168677952,0,0.040659331,0,0,0,0.319448171,0,1
MA,2034,0.030179269,0,0.301186985,0.147330159,0,0.032726391,0,0,0,0.488577197,0,1
MA,2046,0.028774549,0,0.103485923,0.390476442,0,0.003256957,0,0,0,0.474006128,0,1
MD,2036,0.033619505,0,0.399904446,0.307166626,0.114361493,0.00514091,0,0,0,0.13980702,0,1
SD,2050,0.197185711,0,0.003960014,0.084479469,0,0,0,0,0,0.714374806,0,1
TX,2038,0.001630141,0,0.307633069,0.24600577,0.072112107,0.000551501,0.028672152,0.028672152,0.028672152,0.286050955,0,1
TX,2050,0.001368392,0,0.143128274,0.42811291,0.046063333,0.000465334,0.019361476,0.019361476,0.019361476,0.322777329,0,1
WY,2022,0.020110111,0,0.016173173,0.004828988,0,0,0.241727225,0.241727225,0.241727225,0.233706052,0,1
CA,2048,0.10235889,0,0.155804601,0.621774292,0,0.002506133,0,0,0,0.053774225,0.063781859,1
OR,2026,0.496437961,0,0.226454537,0.082539995,0,0.003404779,0,0,0,0.191162728,0,1
TX,2048,0.0014284,0,0.155024728,0.354734577,0.0635781,0.000486234,0.020752872,0.020752872,0.020752872,0.362489346,0,1
WI,2040,0.024279174,0,0.324875637,0.279654121,0,0.003571822,0.118076949,0.118076949,0.118076949,0.013388398,0,1
KS,2026,0.000406939,0,0.017219813,0.194675865,0.122698071,0.000516542,0.123676905,0.123676905,0.123676905,0.293452055,0,1
MA,2042,0.033455598,0,0.202770329,0.217494256,0,0.007658089,0,0,0,0.538621728,0,1
NJ,2040,0.000287421,0,0.485603507,0.09713754,0.233565442,0.0047388,0,0,0,0.178667292,0,1
OK,2032,0.033795336,0,0.221117822,0.191366545,0,0.000287964,0.022886858,0.022886858,0.022886858,0.484771758,0,1
OR,2032,0.506726625,0,0.192759633,0.108254925,0,0.003473715,0,0,0,0.188785103,0,1
WI,2046,0.025850788,0,0.237881548,0.304911013,0,0.003652415,0.108362957,0.108362957,0.108362957,0.102615366,0,1
ID,2044,0.302458426,0,0.449664517,0.231452189,0,0.000827646,0,0,0,0.013297744,0.002299479,1
OR,2050,0.454431048,0,0.079990362,0.276400188,0,0.001911031,0,0,0,0.18726737,0,1
SD,2046,0.228777596,0,0.009756295,0.025529969,0,0,0,0,0,0.73593614,0,1
WV,2022,0.061128586,0,0.369522281,0.003813686,0,0.000380082,0.142717734,0.142717734,0.142717734,0.137002163,0,1
UT,2020,0.01729665,0,0.316014453,0.088778875,0,0.000798606,0.178095774,0.178095774,0.178095774,0.021865124,0.020958971,1
KS,2034,0.000459421,0,0.013411978,0.212583858,0.138522076,0.000583159,0.104196714,0.104196714,0.104196714,0.321849366,0,1
KS,2040,0.000467608,0,0.007858988,0.247765881,0.140990455,0.000593551,0.075214828,0.075214828,0.075214828,0.376679033,0,1
KY,2038,0.038637576,0,0.306279371,0.256826772,0,0.001074221,0.13239402,0.13239402,0.13239402,0,0,1
MA,2044,0.059964756,0,0.102205803,0.38417242,0,0.003279357,0,0,0,0.450377665,0,1
NE,2026,0.035753938,0,0.004547908,0.09231491,0.203640484,0.001697279,0.120688341,0.120688341,0.120688341,0.299980461,0,1
OK,2036,0.033950032,0,0.213430347,0.235994584,0,0.000272597,0.023163375,0.023163375,0.023163375,0.446862313,0,1
WV,2020,0.101106585,0,0.007816571,0.019277605,0,0.000628654,0.21941602,0.21941602,0.21941602,0.212922524,0,1
AR,2034,0.067245543,0,0.323979917,0.029319708,0.318262641,0.000882844,0.086769782,0.086769782,0.086769782,0,0,1
OR,2022,0.499784013,0,0.269712202,0.024432659,0,0.003491918,0,0,0,0.202579208,0,1
RI,2036,0.001592277,0,0.156803679,0.077128389,0,0.021928407,0,0,0,0.742547248,0,1
NV,2030,0.036506958,0,0.627714214,0.22594636,0,0.000751313,0.008076416,0.008076416,0.008076416,0.017456671,0.067395237,1
NM,2034,0.005489147,0,0.060557778,0.095836072,0,0.000397785,0.161983481,0.161983481,0.161983481,0.351768776,0,1
AR,2028,0.075075715,0,0.212521178,0.017494368,0.355321621,0.000985644,0.112867158,0.112867158,0.112867158,0,0,1
