year,vmanuf_cost_of_production,collection_cost_waste_plastic,landfill_transportation_cost_waste_plastic,wte_transportation_cost_waste_plastic,mrf_transportation_cost_waste_plastic,mrf_sorting_cost_plastic,transportation_cost_mrf_to_reclaimer,mechanical_reclaiming_cost,chemical_reclaiming_cost,pyrolysis_upcycling_cost,fiber_resin_upcycling_cost,incineration_cost,landfill_costs,scenario
2020,3012408952.7600403,358706529.9090777,27546161.008437708,3060684.5564930784,16025003.323249318,19718263.339188054,115152509.79916784,0.0,456428858.85209095,0.0,0.0,56164302.55529105,138350056.90500206,chemical recycling
2021,3086510168.7179437,367929233.1416196,28429657.185989678,3158850.798443298,16242292.323977582,19972481.260778066,116771939.05547196,0.0,462510324.1508866,0.0,0.0,57696333.65740882,142397759.1137441,chemical recycling
2022,3174348555.320088,377151936.3741616,29261933.217119265,3251325.913013252,16516492.598508496,20293417.418106824,118827108.48684245,0.0,470226903.5809081,0.0,0.0,59141024.69030493,146302084.4176831,chemical recycling
2023,3258927817.6835184,386374639.6067036,30107876.526424002,3345319.6140471115,16775507.008400353,20596699.39474194,120782352.05547136,0.0,477574238.77582407,0.0,0.0,60598963.42538515,150244667.55918616,chemical recycling
2024,3344373607.785961,395597342.8392455,30932870.153118607,3436985.572568734,17057798.843414582,20924142.796886113,122954884.3155356,0.0,485659532.619881,0.0,0.0,62020897.021699354,154128607.74749503,chemical recycling
2025,3428487075.7449174,404820046.0717875,31830414.13304096,3536712.6814489956,17259479.17484242,21159745.648397647,124465046.89912146,0.0,491321856.93529594,0.0,0.0,63561792.484015696,158215632.96805635,chemical recycling
2026,3517212683.7215805,414042749.30432945,32679626.3281505,3631069.592016722,17514861.48939561,21460251.351975832,126332879.86757527,0.0,498376757.1101481,0.0,0.0,65013030.241852134,162167366.4685799,chemical recycling
2027,3602861094.437622,423265452.5368685,33505105.982093092,3722789.5535658994,17796613.294133916,21787044.776596874,128446640.50430746,0.0,506243569.15410936,0.0,0.0,66423161.01975361,166052667.15831852,chemical recycling
2028,3687000611.1684346,432488155.7694105,34371324.65321248,3819036.0725791645,18033099.524231724,22064352.959068123,130220814.62150864,0.0,512922680.105471,0.0,0.0,67894828.79188195,170052005.67487997,chemical recycling
2029,3773728108.363367,441710859.00195247,35139945.339251645,3904438.371027961,18378027.95997421,22468156.616999336,132768242.68719472,0.0,522497597.99341005,0.0,0.0,69201650.61154701,173778145.10879093,chemical recycling
2030,3854247189.2550383,450933562.2344944,35981469.57603723,3997941.0640041367,18641952.450442914,22775949.326556142,134741393.43226844,0.0,529878094.1168036,0.0,0.0,70626062.19443114,177708358.25559166,chemical recycling
2031,3939402176.092131,460156265.46703637,36791127.54346426,4087903.0603849175,18941283.90686556,23126136.350740008,137032280.88627383,0.0,538477409.530925,0.0,0.0,71986533.88802736,181549370.42607006,chemical recycling
2032,4022527213.640291,469378968.69957834,37632935.79884731,4181437.3109830352,19204892.82111484,23433285.247097913,138965798.28588232,0.0,545710986.3004416,0.0,0.0,73405273.38409686,185480378.60588527,chemical recycling
2033,4107697488.7678714,478601671.9321174,38398706.25832402,4266522.917591558,19552988.175259694,23838853.565761834,141603840.79594126,0.0,555568090.7101163,0.0,0.0,74696210.64881758,189198539.60374942,chemical recycling
2034,4188031116.691511,487824375.1646594,39194676.21460868,4354964.023845408,19867528.53295164,24206685.315422237,143971158.96576262,0.0,564453416.6814468,0.0,0.0,76024819.9335544,193001235.9003465,chemical recycling
2035,4270281886.6829896,497047078.39720136,40040018.673136555,4448890.963681839,20127210.554817785,24511434.375673022,145826530.74766004,0.0,571446410.4522434,0.0,0.0,77442592.2055047,196942137.12309974,chemical recycling
2036,4355673255.654444,506269781.62974334,40830099.87439412,4536677.763821569,20448293.973650943,24887779.461113185,148212166.6438481,0.0,580423371.0482931,0.0,0.0,78755493.23462185,200728349.44751203,chemical recycling
2037,4437547087.931303,515492484.86228526,41662113.38916051,4629123.709906723,20722785.93302986,25207887.25884811,150199407.64331904,0.0,587865185.7708486,0.0,0.0,80140861.31714424,204631939.9081082,chemical recycling
2038,4522088136.041453,524715188.09482723,42477732.89268152,4719748.099186835,21015493.46045919,25549675.95257753,152402508.6346341,0.0,596117704.0427748,0.0,0.0,81491805.68119165,208489639.78162396,chemical recycling
2039,4605584506.809733,533937891.3273663,43211995.045869194,4801332.782874354,21398598.043814078,25997515.165665917,155258284.03694275,0.0,606827847.0789337,0.0,0.0,82710731.78291985,212119601.8236699,chemical recycling
2040,4683906533.663827,543160594.5599083,44014531.971580364,4890503.552397818,21705841.7688099,26355830.418217517,157499438.41695333,0.0,615219348.2299414,0.0,0.0,84040156.77441165,215940680.56967556,chemical recycling
2041,4766569954.886699,552383297.7924502,44884462.21329599,4987162.468143999,21938204.03157855,26627778.018878117,159197222.12793756,0.0,621599137.5492418,0.0,0.0,85467845.74699292,219950408.62123868,chemical recycling
2042,4853515934.067619,561606001.0249922,45639544.60026688,5071060.511140765,22298175.021841347,27050131.32716562,161862581.06632233,0.0,631638511.7297332,0.0,0.0,86709139.1575851,223638651.25960553,chemical recycling
2043,4933157735.798765,570828704.2575341,46418002.93534401,5157555.88170489,22632172.73643054,27438596.056531616,164364681.8864874,0.0,640979400.2257814,0.0,0.0,87990483.5961021,227392328.52322066,chemical recycling
2044,5014286956.429324,580051407.4900762,47229549.03578456,5247727.670642729,22929406.267282616,27784586.28790374,166551952.22851488,0.0,649147100.1783297,0.0,0.0,89317268.93703285,231238626.0098538,chemical recycling
2045,5097518082.936928,589274110.7226152,48005912.66659273,5333990.296288081,23265731.431059167,28178253.380189918,169019390.64293575,0.0,658421443.8452439,0.0,0.0,90593881.7580496,234986439.71712315,chemical recycling
2046,5178512061.276057,598496813.9551572,48754132.210219994,5417125.801135555,23633327.802814882,28607310.22832854,171798264.7224577,0.0,668821199.2937611,0.0,0.0,91818033.50329271,238655471.68731573,chemical recycling
2047,5257714845.810283,607719517.1876991,49523415.08432475,5502601.676036084,23977520.474040054,29009312.875561073,174321985.05701932,0.0,678286812.1725014,0.0,0.0,93073240.68051144,242383464.73707655,chemical recycling
2048,5338255884.147819,616942220.4202411,50285496.74118685,5587277.415687428,24329714.497757062,29420764.914728884,176952714.87261152,0.0,688149966.5741427,0.0,0.0,94310472.52378951,246091299.93272755,chemical recycling
2049,5418337262.865721,626164923.652783,51030944.48350339,5670104.942611488,24700390.648746923,29853015.10387041,179597568.40124315,0.0,698058188.6089631,0.0,0.0,95519614.40956175,249752572.9970907,chemical recycling
