year,circularity,cvalue,scenario
2020,closedloop_circularity,0.23766787212180296,chemical recycling
2021,closedloop_circularity,0.23485221444826332,chemical recycling
2022,closedloop_circularity,0.23297703697030508,chemical recycling
2023,closedloop_circularity,0.23098228542001198,chemical recycling
2024,closedloop_circularity,0.22939357781238084,chemical recycling
2025,closedloop_circularity,0.22681789131035024,chemical recycling
2026,closedloop_circularity,0.22504696261471355,chemical recycling
2027,closedloop_circularity,0.22368464555123482,chemical recycling
2028,closedloop_circularity,0.22182362265676236,chemical recycling
2029,closedloop_circularity,0.22134640060236926,chemical recycling
2030,closedloop_circularity,0.2199330352456294,chemical recycling
2031,closedloop_circularity,0.21898567496902488,chemical recycling
2032,closedloop_circularity,0.21767065978988068,chemical recycling
2033,closedloop_circularity,0.21734545279051085,chemical recycling
2034,closedloop_circularity,0.21666660621381728,chemical recycling
2035,closedloop_circularity,0.21542579124881853,chemical recycling
2036,closedloop_circularity,0.21487540415632012,chemical recycling
2037,closedloop_circularity,0.213863876586234,chemical recycling
2038,closedloop_circularity,0.21307259203908885,chemical recycling
2039,closedloop_circularity,0.21320933284971405,chemical recycling
2040,closedloop_circularity,0.2125984089542274,chemical recycling
2041,closedloop_circularity,0.21128670239383376,chemical recycling
2042,closedloop_circularity,0.2112268937648281,chemical recycling
2043,closedloop_circularity,0.21092695244612222,chemical recycling
2044,closedloop_circularity,0.2102993627233471,chemical recycling
2045,closedloop_circularity,0.21004433923196378,chemical recycling
2046,closedloop_circularity,0.2100751432243974,chemical recycling
2047,closedloop_circularity,0.2099001353653992,chemical recycling
2048,closedloop_circularity,0.20979935696393295,chemical recycling
2049,closedloop_circularity,0.20985857445473918,chemical recycling
2020,openloop_circularity,0.0,chemical recycling
2021,openloop_circularity,0.0,chemical recycling
2022,openloop_circularity,0.0,chemical recycling
2023,openloop_circularity,0.0,chemical recycling
2024,openloop_circularity,0.0,chemical recycling
2025,openloop_circularity,0.0,chemical recycling
2026,openloop_circularity,0.0,chemical recycling
2027,openloop_circularity,0.0,chemical recycling
2028,openloop_circularity,0.0,chemical recycling
2029,openloop_circularity,0.0,chemical recycling
2030,openloop_circularity,0.0,chemical recycling
2031,openloop_circularity,0.0,chemical recycling
2032,openloop_circularity,0.0,chemical recycling
2033,openloop_circularity,0.0,chemical recycling
2034,openloop_circularity,0.0,chemical recycling
2035,openloop_circularity,0.0,chemical recycling
2036,openloop_circularity,0.0,chemical recycling
2037,openloop_circularity,0.0,chemical recycling
2038,openloop_circularity,0.0,chemical recycling
2039,openloop_circularity,0.0,chemical recycling
2040,openloop_circularity,0.0,chemical recycling
2041,openloop_circularity,0.0,chemical recycling
2042,openloop_circularity,0.0,chemical recycling
2043,openloop_circularity,0.0,chemical recycling
2044,openloop_circularity,0.0,chemical recycling
2045,openloop_circularity,0.0,chemical recycling
2046,openloop_circularity,0.0,chemical recycling
2047,openloop_circularity,0.0,chemical recycling
2048,openloop_circularity,0.0,chemical recycling
2049,openloop_circularity,0.0,chemical recycling
2020,upcycling_circularity,0.0,chemical recycling
2021,upcycling_circularity,0.0,chemical recycling
2022,upcycling_circularity,0.0,chemical recycling
2023,upcycling_circularity,0.0,chemical recycling
2024,upcycling_circularity,0.0,chemical recycling
2025,upcycling_circularity,0.0,chemical recycling
2026,upcycling_circularity,0.0,chemical recycling
2027,upcycling_circularity,0.0,chemical recycling
2028,upcycling_circularity,0.0,chemical recycling
2029,upcycling_circularity,0.0,chemical recycling
2030,upcycling_circularity,0.0,chemical recycling
2031,upcycling_circularity,0.0,chemical recycling
2032,upcycling_circularity,0.0,chemical recycling
2033,upcycling_circularity,0.0,chemical recycling
2034,upcycling_circularity,0.0,chemical recycling
2035,upcycling_circularity,0.0,chemical recycling
2036,upcycling_circularity,0.0,chemical recycling
2037,upcycling_circularity,0.0,chemical recycling
2038,upcycling_circularity,0.0,chemical recycling
2039,upcycling_circularity,0.0,chemical recycling
2040,upcycling_circularity,0.0,chemical recycling
2041,upcycling_circularity,0.0,chemical recycling
2042,upcycling_circularity,0.0,chemical recycling
2043,upcycling_circularity,0.0,chemical recycling
2044,upcycling_circularity,0.0,chemical recycling
2045,upcycling_circularity,0.0,chemical recycling
2046,upcycling_circularity,0.0,chemical recycling
2047,upcycling_circularity,0.0,chemical recycling
2048,upcycling_circularity,0.0,chemical recycling
2049,upcycling_circularity,0.0,chemical recycling
2020,incineration_circularity,0.06563506765156117,chemical recycling
2021,incineration_circularity,0.0660421899294009,chemical recycling
2022,incineration_circularity,0.06631332605981709,chemical recycling
2023,incineration_circularity,0.06660175167437653,chemical recycling
2024,incineration_circularity,0.06683146648172632,chemical recycling
2025,incineration_circularity,0.06720389078797713,chemical recycling
2026,incineration_circularity,0.06745995335241273,chemical recycling
2027,incineration_circularity,0.06765693384163754,chemical recycling
2028,incineration_circularity,0.06792602332898173,chemical recycling
2029,incineration_circularity,0.06799502593950704,chemical recycling
2030,incineration_circularity,0.06819938761630576,chemical recycling
2031,incineration_circularity,0.06833636857012364,chemical recycling
2032,incineration_circularity,0.06852650957347013,chemical recycling
2033,incineration_circularity,0.06857353198517774,chemical recycling
2034,incineration_circularity,0.06867168793900849,chemical recycling
2035,incineration_circularity,0.06885110016645192,chemical recycling
2036,incineration_circularity,0.06893068187444765,chemical recycling
2037,incineration_circularity,0.06907694092159718,chemical recycling
2038,incineration_circularity,0.06919135453454471,chemical recycling
2039,incineration_circularity,0.06917158287308936,chemical recycling
2040,incineration_circularity,0.0692599177336282,chemical recycling
2041,incineration_circularity,0.06944958033634561,chemical recycling
2042,incineration_circularity,0.06945822820057432,chemical recycling
2043,incineration_circularity,0.06950159739067059,chemical recycling
2044,incineration_circularity,0.06959234200067278,chemical recycling
2045,incineration_circularity,0.06962921642105788,chemical recycling
2046,incineration_circularity,0.06962476240248736,chemical recycling
2047,incineration_circularity,0.0696500671825623,chemical recycling
2048,incineration_circularity,0.06966463895836712,chemical recycling
2049,incineration_circularity,0.06965607656814067,chemical recycling
2020,avg_inflow_outflow_circularity,0.26945135350741745,chemical recycling
2021,avg_inflow_outflow_circularity,0.26728711223355056,chemical recycling
2022,avg_inflow_outflow_circularity,0.26551333189305604,chemical recycling
2023,avg_inflow_outflow_circularity,0.2637365202698616,chemical recycling
2024,avg_inflow_outflow_circularity,0.2622759338137008,chemical recycling
2025,avg_inflow_outflow_circularity,0.26004457416463916,chemical recycling
2026,avg_inflow_outflow_circularity,0.25836408646790937,chemical recycling
2027,avg_inflow_outflow_circularity,0.2571050960647978,chemical recycling
2028,avg_inflow_outflow_circularity,0.2554877516820161,chemical recycling
2029,avg_inflow_outflow_circularity,0.2549477547268658,chemical recycling
2030,avg_inflow_outflow_circularity,0.253800556386361,chemical recycling
2031,avg_inflow_outflow_circularity,0.2529077914421938,chemical recycling
2032,avg_inflow_outflow_circularity,0.25177285622835466,chemical recycling
2033,avg_inflow_outflow_circularity,0.2513894576480806,chemical recycling
2034,avg_inflow_outflow_circularity,0.25083397808236435,chemical recycling
2035,avg_inflow_outflow_circularity,0.24977055933136502,chemical recycling
2036,avg_inflow_outflow_circularity,0.24920186248011533,chemical recycling
2037,avg_inflow_outflow_circularity,0.2483638164084902,chemical recycling
2038,avg_inflow_outflow_circularity,0.24762167537707075,chemical recycling
2039,avg_inflow_outflow_circularity,0.24766345433831843,chemical recycling
2040,avg_inflow_outflow_circularity,0.24718838772597634,chemical recycling
2041,avg_inflow_outflow_circularity,0.24609262151125022,chemical recycling
2042,avg_inflow_outflow_circularity,0.24592424027187607,chemical recycling
2043,avg_inflow_outflow_circularity,0.24568209071826255,chemical recycling
2044,avg_inflow_outflow_circularity,0.24516378199822367,chemical recycling
2045,avg_inflow_outflow_circularity,0.24490855174038884,chemical recycling
2046,avg_inflow_outflow_circularity,0.24493695845485808,chemical recycling
2047,avg_inflow_outflow_circularity,0.24480812211117187,chemical recycling
2048,avg_inflow_outflow_circularity,0.2447229164899942,chemical recycling
2049,avg_inflow_outflow_circularity,0.2447618732326485,chemical recycling
2020,landfill_diversion_circularity,0.304,chemical recycling
2021,landfill_diversion_circularity,0.302,chemical recycling
2022,landfill_diversion_circularity,0.3,chemical recycling
2023,landfill_diversion_circularity,0.299,chemical recycling
2024,landfill_diversion_circularity,0.297,chemical recycling
2025,landfill_diversion_circularity,0.295,chemical recycling
2026,landfill_diversion_circularity,0.294,chemical recycling
2027,landfill_diversion_circularity,0.292,chemical recycling
2028,landfill_diversion_circularity,0.291,chemical recycling
2029,landfill_diversion_circularity,0.29,chemical recycling
2030,landfill_diversion_circularity,0.289,chemical recycling
2031,landfill_diversion_circularity,0.288,chemical recycling
2032,landfill_diversion_circularity,0.287,chemical recycling
2033,landfill_diversion_circularity,0.287,chemical recycling
2034,landfill_diversion_circularity,0.287,chemical recycling
2035,landfill_diversion_circularity,0.285,chemical recycling
2036,landfill_diversion_circularity,0.285,chemical recycling
2037,landfill_diversion_circularity,0.284,chemical recycling
2038,landfill_diversion_circularity,0.283,chemical recycling
2039,landfill_diversion_circularity,0.284,chemical recycling
2040,landfill_diversion_circularity,0.283,chemical recycling
2041,landfill_diversion_circularity,0.282,chemical recycling
2042,landfill_diversion_circularity,0.282,chemical recycling
2043,landfill_diversion_circularity,0.282,chemical recycling
2044,landfill_diversion_circularity,0.281,chemical recycling
2045,landfill_diversion_circularity,0.281,chemical recycling
2046,landfill_diversion_circularity,0.281,chemical recycling
2047,landfill_diversion_circularity,0.281,chemical recycling
2048,landfill_diversion_circularity,0.281,chemical recycling
2049,landfill_diversion_circularity,0.281,chemical recycling
2020,Weighted_circularity,0.244,chemical recycling
2021,Weighted_circularity,0.292,chemical recycling
2022,Weighted_circularity,0.317,chemical recycling
2023,Weighted_circularity,0.33,chemical recycling
2024,Weighted_circularity,0.336,chemical recycling
2025,Weighted_circularity,0.338,chemical recycling
2026,Weighted_circularity,0.339,chemical recycling
2027,Weighted_circularity,0.338,chemical recycling
2028,Weighted_circularity,0.337,chemical recycling
2029,Weighted_circularity,0.336,chemical recycling
2030,Weighted_circularity,0.335,chemical recycling
2031,Weighted_circularity,0.335,chemical recycling
2032,Weighted_circularity,0.334,chemical recycling
2033,Weighted_circularity,0.334,chemical recycling
2034,Weighted_circularity,0.333,chemical recycling
2035,Weighted_circularity,0.334,chemical recycling
2036,Weighted_circularity,0.334,chemical recycling
2037,Weighted_circularity,0.334,chemical recycling
2038,Weighted_circularity,0.333,chemical recycling
2039,Weighted_circularity,0.333,chemical recycling
2040,Weighted_circularity,0.333,chemical recycling
2041,Weighted_circularity,0.333,chemical recycling
2042,Weighted_circularity,0.334,chemical recycling
2043,Weighted_circularity,0.334,chemical recycling
2044,Weighted_circularity,0.334,chemical recycling
2045,Weighted_circularity,0.334,chemical recycling
2046,Weighted_circularity,0.335,chemical recycling
2047,Weighted_circularity,0.335,chemical recycling
2048,Weighted_circularity,0.336,chemical recycling
2049,Weighted_circularity,0.337,chemical recycling
2020,material_circularity_index,0.13931727417392184,chemical recycling
2021,material_circularity_index,0.13635218283722655,chemical recycling
2022,material_circularity_index,0.1347381762046533,chemical recycling
2023,material_circularity_index,0.13290424135346687,chemical recycling
2024,material_circularity_index,0.1315011210679723,chemical recycling
2025,material_circularity_index,0.12905801978121795,chemical recycling
2026,material_circularity_index,0.1275474030543202,chemical recycling
2027,material_circularity_index,0.12636228506463598,chemical recycling
2028,material_circularity_index,0.12463190219151359,chemical recycling
2029,material_circularity_index,0.12435399173428571,chemical recycling
2030,material_circularity_index,0.12297789209322657,chemical recycling
2031,material_circularity_index,0.1221798191197262,chemical recycling
2032,material_circularity_index,0.1209613118422093,chemical recycling
2033,material_circularity_index,0.12077859932671134,chemical recycling
2034,material_circularity_index,0.12012768082707051,chemical recycling
2035,material_circularity_index,0.1189571136670874,chemical recycling
2036,material_circularity_index,0.11854372968822537,chemical recycling
2037,material_circularity_index,0.11759026724717749,chemical recycling
2038,material_circularity_index,0.11691201498124475,chemical recycling
2039,material_circularity_index,0.11713357822375098,chemical recycling
2040,material_circularity_index,0.11650130224431679,chemical recycling
2041,material_circularity_index,0.11526021284861478,chemical recycling
2042,material_circularity_index,0.11534886547425677,chemical recycling
2043,material_circularity_index,0.11505093648158721,chemical recycling
2044,material_circularity_index,0.11445610099447495,chemical recycling
2045,material_circularity_index,0.11427086297530788,chemical recycling
2046,material_circularity_index,0.11432561370556976,chemical recycling
2047,material_circularity_index,0.11414220866735311,chemical recycling
2048,material_circularity_index,0.11405716588871218,chemical recycling
2049,material_circularity_index,0.11412237571260916,chemical recycling
